room_number,building,capacity,features
1000,BIOL,250,"General Teaching Space, Tables - Any, AC Power to 100% of Seats, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Chalkboard, Document Cameras x 2, Projector/Large Screen, BIOL, Document Camera, Moveable Chairs, STAT, SPPH, SPHA, RES, PHYS, PCTH, PATH, OSOT, NURS, NSCI, NAME, MTRL, MINE, MIDW, MICB, MECH, MANU, KIN, INDS, HUNU, HPB, GSAT, FSCT, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, ENVE, ENPH, EDUC, EDCP, ECPS, DSCI, DHYG, DES, DENT, COLX, CNPS, CIVL, CHEM, CAPS, BOTA, BIOL, BIOC, ATSC, APSC, APPP, ANAT, Rows, Room PC"
1001,BIOL,30,"General Teaching Space, Tables - Any, Projector/Large Screen, BIOL, Whiteboard, Tables - Moveable, Moveable Chairs, STAT, SPPH, SPHA, RES, PHYS, PCTH, PATH, OSOT, NURS, NSCI, NAME, MTRL, MINE, MIDW, MICB, MECH, MANU, KIN, INDS, HUNU, HPB, GSAT, FSCT, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, ENVE, ENPH, EDUC, EDCP, ECPS, DSCI, DHYG, DES, DENT, COLX, CNPS, CIVL, CHEM, CAPS, BOTA, BIOL, BIOC, ATSC, APSC, APPP, ANAT, Rows"
1012,BIOL,48,"General Teaching Space, Tables - Any, AC Power to 100% of Seats, Media Capture (Recording)/Live-Streaming, Learn Lab, Projector/Large Screen, BIOL, Whiteboard, Document Camera, Tables - Moveable, Moveable Chairs, STAT, SPPH, SPHA, RES, PHYS, PCTH, PATH, OSOT, NURS, NSCI, NAME, MTRL, MINE, MIDW, MICB, MECH, MANU, KIN, INDS, HUNU, HPB, GSAT, FSCT, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, ENVE, ENPH, EDUC, EDCP, ECPS, DSCI, DHYG, DES, DENT, COLX, CNPS, CIVL, CHEM, CAPS, BOTA, BIOL, BIOC, ATSC, APSC, APPP, ANAT, Groups, Room PC"
1030,BRCS,160,"General Teaching Space, Tables - Any, AC Power to 100% of Seats, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Document Cameras x 2, Projector/Large Screen, Whiteboard, Document Camera, Moveable Chairs, Rows, Room PC, BRCS"
105,ALRD,94,"General Teaching Space, Tables - Any, AC Power to 100% of Seats, Media Capture (Recording)/Live-Streaming, Projector/Large Screen, Whiteboard, Document Camera, ALRD, Moveable Chairs, LAW, Case-Style, Room PC"
112,ALRD,20,"General Teaching Space, Tables - Any, AC Power to 100% of Seats, Media Capture (Recording)/Live-Streaming, Projector/Large Screen, Whiteboard, Document Camera, Tables - Moveable, ALRD, Moveable Chairs, LAW, Seminar, Room PC"
113,ALRD,20,"General Teaching Space, Tables - Any, AC Power to 100% of Seats, Media Capture (Recording)/Live-Streaming, Projector/Large Screen, Whiteboard, Document Camera, Tables - Moveable, ALRD, Moveable Chairs, LAW, Seminar, Room PC"
120,AERL,144,"General Teaching Space, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Projector/Large Screen, Whiteboard, Document Camera, AERL, STAT, SPPH, SPHA, SOIL, RES, PLNT, PCTH, PATH, OSOT, NURS, NSCI, NAME, MTRL, MRNE, MINE, MIDW, MICB, MECH, MANU, LWS, LFS, LARC, KIN, IWME, INDS, IGEN, HUNU, HPB, GSAT, GRS, GBPR, FSCT, FRE, FOOD, FNH, FISH, FIPR, EPSE, EOSC, ENVR, ENVE, ELEC, EECE, EDUC, EDCP, ECPS, DSCI, DHYG, DES, DENT, CPEN, COLX, CNPS, CIVL, CHEM, CHBE, CEEN, CAPS, BOTA, BMEG, BIOL, BIOC, ATSC, AQUA, APSC, APPP, APBI, ANAT, AANB, Rows, Room PC"
121,ALRD,50,"General Teaching Space, Tables - Any, AC Power to 100% of Seats, Media Capture (Recording)/Live-Streaming, Projector/Large Screen, Whiteboard, Document Camera, ALRD, Moveable Chairs, LAW, Case-Style, Room PC"
142,AUDX,20,"NEPL, JWST, CAP, ENST, THFL, CMST, CINE, ARBM, NORD, AMNE, ASIX, General Teaching Space, Tables - Any, Chalkboard, Projector/Large Screen, AUDX, Tables - Moveable, Moveable Chairs, JRNL, WRDS, VISA, URST, TIBT, THTR, SWED, SPAN, SOWK, SOCI, SOAL, SLAV, SEAL, SCIE, SCAN, SANS, RUSS, RMST, RGST, RELG, PUNJ, PSYC, PORT, POLS, POLI, PLAN, PHIL, PERS, NEST, MUSC, MDVL, MATH, LLED, LIBR, LATN, LAST, LASO, LAIS, KORN, JAPN, ITST, ITAL, ISCI, INLB, INFO, INDO, HIST, HINU, HEBR, GRSJ, GREK, GERM, GEOS, GEOG, FREN, FNIS, FNEL, FMST, FIST, FHIS, ENGL, EDST, ECED, DMED, DANI, CTLN, CSPW, CSIS, CRWR, COGS, CNTO, CNRS, CLST, CLCH, CHIN, CHIL, CENS, CDST, CCST, ASTU, ASIC, ASIA, ARTS, ARTH, ARST, ARCL, ARCH, ARBC, ANTH, AFST, ADHE, ACAM, Seminar, UDES"
