room_number,building,capacity,features
025,SOWK,30,"SOWK, Projector/Large Screen, Whiteboard, Document Camera, SOWK, Rows, Moveable Chairs - Tablet Arms"
027,SOWK,30,"SOWK, Projector/Large Screen, Whiteboard, Document Camera, SOWK, Rows, Moveable Chairs - Tablet Arms"
029,SOWK,30,"SOWK, Projector/Large Screen, Whiteboard, Document Camera, SOWK, Rows, Moveable Chairs - Tablet Arms"
037,ANGU,54,"General Teaching Space, Tables - Any, AC Power to 100% of Seats, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Projector/Large Screen, Whiteboard, Document Camera, ANGU, Moveable Chairs, COMR, COMM, COHR, COEC, BUSI, BAUL, BATM, BATL, BASM, BASD, BASC, BAPA, BAMS, BAMA, BALA, BAIT, BAIM, BAHR, BAHC, BAFI, BAEN, BABS, BAAC, BA, Case-Style, Room PC"
039,ANGU,54,"General Teaching Space, Tables - Any, AC Power to 100% of Seats, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Projector/Large Screen, Whiteboard, Document Camera, ANGU, Moveable Chairs, COMR, COMM, COHR, COEC, BUSI, BAUL, BATM, BATL, BASM, BASD, BASC, BAPA, BAMS, BAMA, BALA, BAIT, BAIM, BAHR, BAHC, BAFI, BAEN, BABS, BAAC, BA, Case-Style, Room PC"
098,ANGU,260,"General Teaching Space, Tables - Any, AC Power to 100% of Seats, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Projector/Large Screen, Whiteboard, Document Camera, ANGU, Moveable Chairs, COMR, COMM, COHR, COEC, BUSI, BAUL, BATM, BATL, BASM, BASD, BASC, BAPA, BAMS, BAMA, BALA, BAIT, BAIM, BAHR, BAHC, BAFI, BAEN, BABS, BAAC, BA, Rows, Room PC"
1,IRC,120,"IRC, General Teaching Space, Tables - Any, AC Power to 100% of Seats, Dual Content Capable, Media Capture (Recording)/Live-Streaming, Chalkboard, Projector/Large Screen, Whiteboard, Document Camera, Moveable Chairs, SPPH, SPHA, RHSC, RES, PHTH, PCTH, PATH, OSOT, NURS, NSCI, NAME, MRNE, MIDW, MICB, MEDG, MECH, MANU, KIN, IWME, HUNU, HPB, GSAT, GBPR, FSCT, FOOD, FNH, FISH, ENVE, DHYG, DES, DENT, CIVL, CHBE, CEEN, CAPS, BOTA, BMEG, BIOL, BIOC, AUDI, APSC, APPP, ANAT, Rows, Room PC"
1,OSB,68,"OSB1, General Teaching Space, Tables - Any, Media Capture (Recording)/Live-Streaming, Projector/Large Screen, Whiteboard, Document Camera, Tables - Moveable, Moveable Chairs, WOOD, UFOR, PHRM, PHAR, MEDG, KIN, IWME, GEM, GBPR, FRST, FOPR, FOPE, FCOR, CONS, CEEN, BMEG, BEST, Rows, Room PC"
100,GEOG,221,"ENST, General Teaching Space, Dual Content Capable, Media Capture (Recording)/Live-Streaming, GEOG, Projector/Large Screen, Whiteboard, Document Camera, JRNL, VISA, URST, SOWK, SCIE, PLAN, MUSC, MATH, LLED, LIBR, LAIS, ISCI, INFO, GEOS, GEOG, EDST, ECED, CSPW, CHIL, CHEM, CCST, ARTS, ARTH, ARST, ARCH, ADHE, Rows, Room PC, UDES"
100,HEBB,375,"General Teaching Space, Tables - Any, Dual Content Capable, HEBB, Media Capture (Recording)/Live-Streaming, Chalkboard, Document Cameras x 2, Projector/Large Screen, Document Camera, Moveable Chairs, Rows, Room PC"
